candidate_id,rank,score,reasoning
CAND_0086022,1,4.2775,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0077337,2,3.6025,"Strong fit: highly responsive (response rate 0%). Concern(s): based outside India (Unknown, Unknown)."
CAND_0002025,3,3.2873,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0039754,4,2.8953,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0011687,5,2.8658,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0046064,6,2.8655,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0081852,7,2.8055,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0052328,8,2.6959,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0010257,9,2.6403,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0018499,10,2.5071,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0029367,11,2.4782,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0071974,12,2.3874,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0041669,13,2.3844,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0081846,14,2.3822,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0020877,15,2.1515,"Strong fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0007009,16,2.1283,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0055905,17,1.9462,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0051292,18,1.6607,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0055992,19,1.6369,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0008425,20,1.6357,"Strong fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0006557,21,1.4965,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0044855,22,1.4312,"Good fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0026532,23,1.4298,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0068811,24,1.359,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0089552,25,1.2671,"Good fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0005260,26,1.2633,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0032807,27,1.2368,"Good fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0086151,28,1.2188,"Good fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0075439,29,1.1319,"Good fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0065195,30,-2.3402,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0074735,31,-2.3614,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0081053,32,-2.3624,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0053591,33,-2.3626,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0009691,34,-2.3836,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0083307,35,-2.4268,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0088025,36,-2.548,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0028793,37,-2.5684,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0053695,38,-2.595,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
